Network built: 131 buses, 191 lines, 16 trafos, 103 loads, 22 gens, 2 ext_grid(s)

Running AC power flow (pp.runpp) ...

=== Bus results (res_bus) ===
        vm_pu  va_degree         p_mw      q_mvar                   name  vn_kv
64   0.972473 -17.706384    10.744800    0.000000   CONNECTIVITY_NODE581  132.0
65   0.985446 -39.416844    25.787600    3.000010   CONNECTIVITY_NODE897  132.0
66   1.058693 -27.765021     0.000000    0.000000   CONNECTIVITY_NODE872  220.0
67   0.896566 -48.134549    19.340500    5.249980   CONNECTIVITY_NODE208  132.0
68   0.903452 -36.568677     0.000000    0.000000   CONNECTIVITY_NODE306  220.0
69   0.878332 -48.061631    33.308900   12.750100   CONNECTIVITY_NODE679  132.0
70   0.931454 -45.850923    17.191700    6.000010   CONNECTIVITY_NODE859  132.0
71   0.990004 -43.961762    12.893800    2.250000   CONNECTIVITY_NODE239  132.0
72   1.050928 -33.914523     0.000000    0.000000              BP_SD-EH2  400.0
73   0.843921 -53.897349    39.755700    7.499990   CONNECTIVITY_NODE258  132.0
74   0.996004 -28.836569    45.128200    0.000000   CONNECTIVITY_NODE269  132.0
75   0.984277 -14.895592    51.575100    7.500010   CONNECTIVITY_NODE755  132.0
76   0.937020 -23.386558     7.521350    2.249990   CONNECTIVITY_NODE344  132.0
77        NaN        NaN     0.000000    0.000000   CONNECTIVITY_NODE748  220.0
78   0.959068 -51.030903     0.000000    0.000000   CONNECTIVITY_NODE183  132.0
79   0.910043 -34.231220    35.457800   11.250000    CONNECTIVITY_NODE98  132.0
80   0.886160 -45.926651    64.468800   25.500000    CONNECTIVITY_NODE36  132.0
81   1.104295 -27.902355     0.000000    0.000000             EH_border3  400.0
82   0.957720 -55.140780    41.904800    7.500020    CONNECTIVITY_NODE59  132.0
83   1.044389 -33.881742     0.000000    0.000000           TerminalES41  400.0
84   0.942199 -31.288875     0.000000    0.000000   CONNECTIVITY_NODE191  132.0
85   0.932774 -46.676148    30.085400    0.000750   CONNECTIVITY_NODE358  220.0
86   0.927512 -32.858580    50.500400    8.249970    CONNECTIVITY_NODE94  132.0
87   1.017403 -33.807891     0.000000    0.000000   CONNECTIVITY_NODE655  220.0
88        NaN        NaN     0.000000    0.000000   CONNECTIVITY_NODE651  220.0
89   0.915572 -41.948789     6.446880    0.000000    CONNECTIVITY_NODE43  132.0
90   0.968507 -22.383803    12.893700    5.249990    CONNECTIVITY_NODE71  132.0
91   0.951953 -36.174365    18.266100    5.250000   CONNECTIVITY_NODE728  132.0
92   0.938709 -29.428468    12.893800    0.000000    CONNECTIVITY_NODE28  132.0
93   0.993859 -45.432080    90.256200   13.500000   CONNECTIVITY_NODE235  132.0
94   0.982438 -46.287776    24.713100    8.250010   CONNECTIVITY_NODE216  132.0
95   0.992518 -19.146206     0.000000    0.000000         Bus-1025750665   33.0
96   0.853066 -51.553915    29.010900    8.250000   CONNECTIVITY_NODE296  132.0
97   1.000000 -41.481652    12.381700  -43.816748    CONNECTIVITY_NODE79  132.0
98   0.994324 -39.509057    21.489600    8.250010    CONNECTIVITY_NODE83  132.0
99   1.000000 -25.970081  -478.410000   42.877860   CONNECTIVITY_NODE246  132.0
100  0.945106 -36.282221    46.202600   12.000000   CONNECTIVITY_NODE128  132.0
101  0.970115 -53.525936    55.872800   16.500000   CONNECTIVITY_NODE140  132.0
102  0.959570 -51.454327    41.904720    9.000030  CONNECTIVITY_NODE1018  132.0
103  0.974472 -16.951088     0.000000    0.000000         Bus-1150881858   33.0
104  0.961283 -39.164624    41.904700   22.500100   CONNECTIVITY_NODE250  132.0
105  1.044334 -33.881466     0.000000    0.000000            EH_SD_400kV  400.0
106  0.991459 -45.582092    67.692000   16.500000   CONNECTIVITY_NODE629  132.0
107  0.895346 -47.572114    96.702800   22.499900   CONNECTIVITY_NODE351  132.0
108  0.977234 -55.147430    21.489600    6.750010     CONNECTIVITY_NODE9  132.0
109  0.962011 -29.550363    76.288200   19.500100   CONNECTIVITY_NODE136  132.0
110  0.957978 -25.216109    21.489500    7.500000   CONNECTIVITY_NODE318  132.0
111  1.000000 -30.502681  -323.352400   47.729357    CONNECTIVITY_NODE90  132.0
112  0.992695 -28.520235    36.532300    6.000010   CONNECTIVITY_NODE792  132.0
113  0.971712 -21.415738    11.819300    5.250010   CONNECTIVITY_NODE669  132.0
114  0.914020 -42.914886    11.819300    2.250000    CONNECTIVITY_NODE32  132.0
115  1.009310 -35.954391     0.000000    0.000000  CONNECTIVITY_NODE1122  220.0
116  1.000000 -27.441169  -195.052300  -79.140585   CONNECTIVITY_NODE124  132.0
117  1.000000 -38.403170   -96.603200 -122.064636    CONNECTIVITY_NODE47  132.0
118  0.957597 -27.053918    45.128200   23.250000   CONNECTIVITY_NODE170  132.0
119  0.903088 -34.597253    73.064300   26.999900   CONNECTIVITY_NODE708  132.0
120  1.000000 -53.890116   -28.700800 -318.870621    CONNECTIVITY_NODE13  132.0
121  0.882940 -46.857440    48.351700   18.750000   CONNECTIVITY_NODE384  132.0
122  0.962398 -51.530455    26.862000    7.500020   CONNECTIVITY_NODE401  132.0
123  0.977787 -27.570767    16.117200    6.749970   CONNECTIVITY_NODE446  132.0
124  0.981546 -20.649540    22.564000    7.499980   CONNECTIVITY_NODE692  132.0
125  0.978933 -17.893783    69.841100    7.500000    CONNECTIVITY_NODE63  132.0
126  0.883640 -48.359618    24.712900    6.749980   CONNECTIVITY_NODE496  132.0
127  1.000000 -38.201681   -33.544000  -40.685421   CONNECTIVITY_NODE254  132.0
128  1.000000 -40.081341    39.680250 -180.614163     CONNECTIVITY_NODE1  132.0
129  0.965408 -29.150406    65.543100   21.000000   CONNECTIVITY_NODE132  132.0
130  0.941714 -31.635231    70.915800   15.000100   CONNECTIVITY_NODE330  132.0

=== Line loading (res_line) ===
        p_from_mw   q_from_mvar  ...  loading_percent                      name
47   6.499220e+02  2.132856e+02  ...       181.111921                     26-30
118 -3.065075e+02  2.453747e+01  ...       143.530680                     23-25
106  2.739730e+02  4.522928e+00  ...       119.848443                     89-92
120  2.430891e+02  3.651840e+01  ...       107.516959                     25-27
105  3.727110e+00  2.780680e+01  ...        98.168676               L-356722636
186 -2.844973e+02  8.218565e+01  ...        86.549025                      8-30
54  -2.624491e+02  7.323568e+01  ...        73.252540                     64-65
115 -1.482175e+02  1.091325e+01  ...        72.680042                     15-17
3    1.412003e+02 -2.664231e+01  ...        67.073093                     23-32
77  -1.420944e+02  3.691976e+01  ...        64.421874                     49-66
72  -1.420935e+02  3.691936e+01  ...        64.421487                     49-66
143  1.404398e+02 -3.943496e+01  ...        63.802194                   100-103
109 -1.415855e+02 -1.924383e+02  ...        62.698146                     65-68
127 -1.763551e+02 -9.054973e+01  ...        56.866269                     38-65
19  -1.129414e+00 -1.246635e+02  ...        55.932959                     11-12
108 -1.250409e+02  2.702990e+00  ...        54.880134                     60-61
61   1.237636e+02  3.967211e+00  ...        54.216765                     89-90
175 -1.210788e+02  6.404571e+00  ...        53.892739                     88-89
130 -4.094856e+01 -1.960343e+02  ...        51.132344                     68-81
190 -1.940750e+02 -3.155501e+01  ...        51.124348                     63-64
174 -6.345008e+01  8.991902e+01  ...        48.976218                     31-32
56  -9.713935e+01 -1.831074e+01  ...        48.893110                     34-37
148  1.015394e+02  2.499672e+01  ...        46.971116                     69-75
132  9.165403e+01  2.977320e+01  ...        46.263122                     17-18
101 -8.986900e+01 -3.805405e+01  ...        44.215720                     77-80
6   -8.915254e+01 -3.307004e+00  ...        44.048553                     22-23
183 -9.159655e+01  1.008102e+01  ...        40.982219                     85-89
16  -8.429041e+01  1.978351e+01  ...        39.988873                     82-83
158 -7.677035e+01  6.143935e+00  ...        38.713748                     21-22
104  8.040736e+01  2.442202e+01  ...        38.349834                     69-70
151 -4.269829e-02  1.475488e+02  ...        38.328900                  EH_line1
114 -7.993737e+01  2.388378e+01  ...        38.053270                       4-5
10   8.441823e+01 -1.126103e+01  ...        38.052104                     92-93
90   8.655049e+01 -4.108793e+00  ...        37.898653                     89-92
55   7.852190e+01 -1.419884e+01  ...        35.652496                     92-94
113 -6.136243e+01  4.467360e+01  ...        35.538951                     16-17
31   6.477262e+01 -3.599417e+01  ...        34.823718                     27-28
123  6.775204e+01 -3.357271e+01  ...        34.484015                       5-6
163 -6.646787e+01 -1.621854e+01  ...        34.448424                     42-49
99  -6.646787e+01 -1.621854e+01  ...        34.448424                     42-49
65   7.458366e+01  8.105652e+00  ...        34.445686                   110-112
71  -6.914068e+01  2.402624e+01  ...        33.014116                     47-69
138  6.957783e+01 -2.084254e+01  ...        32.801513                     93-94
86  -6.307659e+01 -3.300408e+01  ...        32.248290                     79-80
117  6.295758e+01  1.248342e+01  ...        31.751211                     37-39
64  -6.077764e+01  1.491202e+01  ...        31.590938                     20-21
82   3.043942e+01 -6.283092e+01  ...        31.504980                    94-100
131 -6.847381e+01  1.647832e+01  ...        31.497574                     85-88
57   6.516820e+01 -1.620336e+01  ...        31.345691                     23-24
139 -6.103468e+01 -1.855794e+01  ...        30.896766                     76-77
168  6.837782e+01  8.449795e+00  ...        30.320818                   103-110
26   6.792946e+01 -7.868957e+00  ...        29.910116                     49-51
39   6.621008e+01 -9.579025e+00  ...        29.890610                    92-102
92  -6.527057e+01  2.703129e+00  ...        29.845791                     83-85
29   6.642324e+01  8.226270e+00  ...        29.518489                   100-106
129 -1.863555e+00 -8.085023e+00  ...        29.250866               L-356394998
24  -1.863555e+00 -8.085023e+00  ...        29.250866               L-356394945
134 -1.863555e+00 -8.085023e+00  ...        29.250866               L-356394846
116 -1.863555e+00 -8.085023e+00  ...        29.250866               L-356395030
149  4.530855e+01 -4.468413e+01  ...        29.238335                     28-29
128  6.518333e+01 -1.754395e-02  ...        28.510315                     89-90
169 -3.362838e+01  5.354320e+01  ...        28.426967                     12-16
185 -5.881417e+01  2.097845e+01  ...        28.364239                     49-69
66   8.652591e+01 -4.119789e+01  ...        27.837331                     30-38
